"date",total
"2011-06-09",177.74
"2011-06-10",177.74
"2011-06-11",177.74
"2011-06-12",177.74
"2011-06-13",177.74
"2011-06-14",177.74
"2011-06-15",177.74
"2011-06-16",177.74
"2011-06-17",177.74
"2011-06-18",177.74
"2011-06-19",177.74
"2011-06-20",177.74
"2011-06-21",177.74
"2011-06-22",177.74
"2011-06-23",177.74
"2011-06-24",177.74
"2011-06-25",177.74
"2011-06-26",177.74
"2011-06-27",177.74
"2011-06-28",177.74
"2011-06-29",177.74
"2011-06-30",177.74
"2011-07-01",177.74
"2011-07-02",177.74
"2011-07-03",177.74
"2011-07-04",177.74
"2011-07-05",177.74
"2011-07-06",177.74
"2011-07-07",177.74
"2011-07-08",177.74
"2011-07-09",177.74
"2011-07-10",177.74
"2011-07-11",177.74
"2011-07-12",177.74
"2011-07-13",177.74
"2011-07-14",177.74
"2011-07-15",177.74
"2011-07-16",177.74
"2011-07-17",177.74
"2011-07-18",177.74
"2011-07-19",177.74
"2011-07-20",177.74
"2011-07-21",177.74
"2011-07-22",177.74
"2011-07-23",177.74
"2011-07-24",177.74
"2011-07-25",177.74
"2011-07-26",177.74
"2011-07-27",177.74
"2011-07-28",177.74
"2011-07-29",177.74
"2011-07-30",177.74
"2011-07-31",177.74
"2011-08-01",177.74
"2011-08-02",177.74
"2011-08-03",177.74
"2011-08-04",177.74
"2011-08-05",177.74
"2011-08-06",177.74
"2011-08-07",177.74
"2011-08-08",177.74
"2011-08-09",177.74
"2011-08-10",177.74
"2011-08-11",177.74
"2011-08-12",177.74
"2011-08-13",177.74
"2011-08-14",177.74
"2011-08-15",177.74
"2011-08-16",177.74
"2011-08-17",177.74
"2011-08-18",177.74
"2011-08-19",177.74
"2011-08-20",177.74
"2011-08-21",177.74
"2011-08-22",177.74
"2011-08-23",177.74
"2011-08-24",177.74
"2011-08-25",177.74
"2011-08-26",177.74
"2011-08-27",177.74
"2011-08-28",177.74
"2011-08-29",177.74
"2011-08-30",177.74
"2011-08-31",177.74
"2011-09-01",177.74
"2011-09-02",177.74
"2011-09-03",177.74
"2011-09-04",177.74
"2011-09-05",177.74
"2011-09-06",177.74
"2011-09-07",177.74
"2011-09-08",177.74
"2011-09-09",177.74
"2011-09-10",177.74
"2011-09-11",177.74
"2011-09-12",177.74
"2011-09-13",177.74
"2011-09-14",177.74
"2011-09-15",177.74
"2011-09-16",177.74
"2011-09-17",177.74
"2011-09-18",177.74
"2011-09-19",177.74
"2011-09-20",177.74
"2011-09-21",177.74
"2011-09-22",177.74
"2011-09-23",177.74
"2011-09-24",177.74
"2011-09-25",177.74
"2011-09-26",177.74
"2011-09-27",177.74
"2011-09-28",177.74
"2011-09-29",177.74
"2011-09-30",177.74
"2011-10-01",177.74
"2011-10-02",177.74
"2011-10-03",177.74
"2011-10-04",177.74
"2011-10-05",177.74
"2011-10-06",177.74
"2011-10-07",177.74
"2011-10-08",177.74
"2011-10-09",177.74
"2011-10-10",179.27
"2011-10-11",180.78
"2011-10-12",182.20
"2011-10-13",182.20
"2011-10-14",182.20
"2011-10-15",182.20
"2011-10-16",182.20
"2011-10-17",183.81
"2011-10-18",185.28
"2011-10-19",186.71
"2011-10-20",186.71
"2011-10-21",186.71
"2011-10-22",186.71
"2011-10-23",186.71
"2011-10-24",188.24
"2011-10-25",189.70
"2011-10-26",191.11
"2011-10-27",191.11
"2011-10-28",191.11
"2011-10-29",191.11
"2011-10-30",191.11
"2011-10-31",192.66
"2011-11-01",194.09
"2011-11-02",195.50
"2011-11-03",195.50
"2011-11-04",195.50
"2011-11-05",195.50
"2011-11-06",195.50
"2011-11-07",197.06
"2011-11-08",198.48
"2011-11-09",199.79
"2011-11-10",199.79
"2011-11-11",199.79
"2011-11-12",199.79
"2011-11-13",199.79
"2011-11-14",201.37
"2011-11-15",202.73
"2011-11-16",204.10
"2011-11-17",204.10
"2011-11-18",204.10
"2011-11-19",204.10
"2011-11-20",204.10
"2011-11-21",205.65
"2011-11-22",206.99
"2011-11-23",208.38
"2011-11-24",208.38
"2011-11-25",208.38
"2011-11-26",208.38
"2011-11-27",208.38
"2011-11-28",209.94
"2011-11-29",211.30
"2011-11-30",212.67
"2011-12-01",212.67
"2011-12-02",212.67
"2011-12-03",212.67
"2011-12-04",212.67
